	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
13	13	0.014145888388156891	10431	utilizada	la maestra es la más utilizada.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.012279406189918518	15883	elevada	la maestra es la más elevada.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	15
15	15	0.011147191748023033	8821	larga	la maestra es la más larga.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.009101934731006622	9122	noble	la maestra es la más noble.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	13
17	17	0.0077176280319690704	14757	amplia	la maestra es la más amplia.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.007571820635348558	3341	simple	la maestra es la más simple.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	11
19	19	0.007489646784961224	9560	baja	la maestra es la más baja.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	10
20	20	0.007389122620224953	10821	probable	la maestra es la más probable.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	9
21	21	0.007351858075708151	13300	absoluta	la maestra es la más absoluta.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	8
22	22	0.006911765318363905	7866	276	la maestra es la más 276.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	7
23	23	0.006512658670544624	16443	femenina	la maestra es la más femenina.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	6
24	24	0.006288440432399511	8435	fiel	la maestra es la más fiel.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.005821017548441887	9699	dura	la maestra es la más dura.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	4
26	26	0.005428773816674948	12760	dominante	la maestra es la más dominante.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	3
27	27	0.005231680814176798	14254	potente	la maestra es la más potente.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	2
28	28	0.004776869900524616	5490	tradicional	la maestra es la más tradicional.	la maestra es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.09937985241413116	7371	antigua	la vendedora es la más antigua.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.09604010730981827	2754	alta	la vendedora es la más alta.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	28
2	2	0.09189442545175552	5356	conocida	la vendedora es la más conocida.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	27
3	3	0.06899108737707138	1693	importante	la vendedora es la más importante.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.04275492951273918	10431	utilizada	la vendedora es la más utilizada.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	25
5	5	0.04253576323390007	1072	grande	la vendedora es la más grande.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	24
6	6	0.03722837194800377	12230	bella	la vendedora es la más bella.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	23
7	7	0.02806025929749012	7746	fuerte	la vendedora es la más fuerte.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.02350982092320919	16963	rica	la vendedora es la más rica.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	21
9	9	0.019507769495248795	9560	baja	la vendedora es la más baja.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	20
10	10	0.01799957826733589	11428	buena	la vendedora es la más buena.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	19
11	11	0.016204018145799637	10821	probable	la vendedora es la más probable.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	18
12	12	0.015225735493004322	15883	elevada	la vendedora es la más elevada.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	17
13	13	0.014269547536969185	8821	larga	la vendedora es la más larga.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.011969945393502712	14254	potente	la vendedora es la más potente.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	15
15	15	0.011602210812270641	17676	pura	la vendedora es la más pura.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.009986757300794125	3341	simple	la vendedora es la más simple.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	13
17	17	0.008941602893173695	1068	gran	la vendedora es la más gran.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.008334045298397541	14757	amplia	la vendedora es la más amplia.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	11
19	19	0.008024075999855995	5490	tradicional	la vendedora es la más tradicional.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	10
20	20	0.007003293372690678	10750	participa	la vendedora es la más participa.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	VMI	9
21	21	0.006679133046418428	1696	popular	la vendedora es la más popular.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	8
22	22	0.006657228339463472	9699	dura	la vendedora es la más dura.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	7
23	23	0.0065138079226017	7749	joven	la vendedora es la más joven.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	6
24	24	0.005720415618270636	3685	nueva	la vendedora es la más nueva.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.005262322723865509	10437	usada	la vendedora es la más usada.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	4
26	26	0.004642515443265438	7866	276	la vendedora es la más 276.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	3
27	27	0.0045001995749771595	11657	habitual	la vendedora es la más habitual.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	2
28	28	0.004351829644292593	13850	usual	la vendedora es la más usual.	la vendedora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.12343066930770874	5356	conocida	la doctora es la más conocida.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.10188806056976318	7749	joven	la doctora es la más joven.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	28
2	2	0.08631876856088638	12230	bella	la doctora es la más bella.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	27
3	3	0.05711010470986366	1693	importante	la doctora es la más importante.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.05189352110028267	2754	alta	la doctora es la más alta.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	25
5	5	0.04083713889122009	7371	antigua	la doctora es la más antigua.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	24
6	6	0.03259440138936043	10431	utilizada	la doctora es la más utilizada.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	23
7	7	0.024479547515511513	1072	grande	la doctora es la más grande.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.01833074912428856	15342	brillante	la doctora es la más brillante.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	21
9	9	0.014824941754341125	17676	pura	la doctora es la más pura.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	20
10	10	0.013942265883088112	15883	elevada	la doctora es la más elevada.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	19
11	11	0.013645750470459461	11428	buena	la doctora es la más buena.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	18
12	12	0.01144915446639061	10821	probable	la doctora es la más probable.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	17
13	13	0.01044605951756239	8821	larga	la doctora es la más larga.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.010093922726809978	7746	fuerte	la doctora es la más fuerte.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	15
15	15	0.00993957370519638	16963	rica	la doctora es la más rica.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.009141059592366219	1068	gran	la doctora es la más gran.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	13
17	17	0.008378896862268448	14757	amplia	la doctora es la más amplia.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.007991243153810501	9122	noble	la doctora es la más noble.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	11
19	19	0.00795046053826809	7866	276	la doctora es la más 276.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	10
20	20	0.0076274573802948	8360	famosa	la doctora es la más famosa.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	9
21	21	0.007520104758441448	5490	tradicional	la doctora es la más tradicional.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	8
22	22	0.007353745400905609	9560	baja	la doctora es la más baja.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	7
23	23	0.006016930565237999	3341	simple	la doctora es la más simple.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	6
24	24	0.005878116935491562	4482	notable	la doctora es la más notable.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.004854973871260881	1696	popular	la doctora es la más popular.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	4
26	26	0.004771300125867128	10437	usada	la doctora es la más usada.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	3
27	27	0.004582092631608248	14254	potente	la doctora es la más potente.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	2
28	28	0.004293832462280989	13300	absoluta	la doctora es la más absoluta.	la doctora es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.0778190940618515	12230	bella	la jefa es la más bella.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.07175323367118835	7371	antigua	la jefa es la más antigua.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	28
2	2	0.05205066502094269	2754	alta	la jefa es la más alta.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	27
3	3	0.049995046108961105	1072	grande	la jefa es la más grande.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.047565773129463196	5356	conocida	la jefa es la más conocida.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	25
5	5	0.04696572944521904	1693	importante	la jefa es la más importante.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	24
6	6	0.03987119719386101	7746	fuerte	la jefa es la más fuerte.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	23
7	7	0.03400491178035736	8821	larga	la jefa es la más larga.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.0299471914768219	10431	utilizada	la jefa es la más utilizada.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	21
9	9	0.026427319273352623	17676	pura	la jefa es la más pura.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	20
10	10	0.02048117108643055	7749	joven	la jefa es la más joven.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	19
11	11	0.015019884333014488	1068	gran	la jefa es la más gran.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	18
12	12	0.013378060422837734	16963	rica	la jefa es la más rica.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	17
13	13	0.012276092544198036	9699	dura	la jefa es la más dura.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.012136943638324738	11428	buena	la jefa es la más buena.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	15
15	15	0.011516374535858631	10821	probable	la jefa es la más probable.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.011307859793305397	3341	simple	la jefa es la más simple.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	13
17	17	0.011009667068719864	5490	tradicional	la jefa es la más tradicional.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.010383866727352142	15883	elevada	la jefa es la más elevada.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	11
19	19	0.009822073392570019	9560	baja	la jefa es la más baja.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	10
20	20	0.00931188277900219	14254	potente	la jefa es la más potente.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	9
21	21	0.006720312405377626	16443	femenina	la jefa es la más femenina.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	8
22	22	0.006439203396439552	14757	amplia	la jefa es la más amplia.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	7
23	23	0.006373030599206686	11657	habitual	la jefa es la más habitual.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	6
24	24	0.006044850219041109	15342	brillante	la jefa es la más brillante.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.005897868424654007	9122	noble	la jefa es la más noble.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	4
26	26	0.005858180113136768	13850	usual	la jefa es la más usual.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	3
27	27	0.005657678470015526	10437	usada	la jefa es la más usada.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	2
28	28	0.004953303374350071	13300	absoluta	la jefa es la más absoluta.	la jefa es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.09165875613689423	8821	larga	la alumna es la más larga.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.07696272432804108	7371	antigua	la alumna es la más antigua.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	28
2	2	0.061679549515247345	2754	alta	la alumna es la más alta.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	27
3	3	0.05521316081285477	10431	utilizada	la alumna es la más utilizada.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.051120150834321976	5356	conocida	la alumna es la más conocida.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	25
5	5	0.04522532969713211	1693	importante	la alumna es la más importante.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	24
6	6	0.04446057230234146	12230	bella	la alumna es la más bella.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	23
7	7	0.0389583483338356	7746	fuerte	la alumna es la más fuerte.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.03832941874861717	1072	grande	la alumna es la más grande.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	21
9	9	0.020781075581908226	17676	pura	la alumna es la más pura.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	20
10	10	0.01729772239923477	9560	baja	la alumna es la más baja.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	19
11	11	0.017079869285225868	3341	simple	la alumna es la más simple.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	18
12	12	0.016464224085211754	15342	brillante	la alumna es la más brillante.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	17
13	13	0.01602456159889698	14254	potente	la alumna es la más potente.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.016014141961932182	9699	dura	la alumna es la más dura.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	15
15	15	0.015114417299628258	15883	elevada	la alumna es la más elevada.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.013035121373832226	10821	probable	la alumna es la más probable.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	13
17	17	0.010699751786887646	13820	clara	la alumna es la más clara.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.009038228541612625	11428	buena	la alumna es la más buena.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	11
19	19	0.009015316143631935	14757	amplia	la alumna es la más amplia.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	10
20	20	0.008529084734618664	15896	intensa	la alumna es la más intensa.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	9
21	21	0.007645371835678816	10437	usada	la alumna es la más usada.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	8
22	22	0.007362038362771273	13850	usual	la alumna es la más usual.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	7
23	23	0.007229292765259743	14896	corta	la alumna es la más corta.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	6
24	24	0.006012446247041225	7749	joven	la alumna es la más joven.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.004816775675863028	5490	tradicional	la alumna es la más tradicional.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	4
26	26	0.004791503772139549	11657	habitual	la alumna es la más habitual.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	3
27	27	0.004614543169736862	6761	completa	la alumna es la más completa.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	2
28	28	0.004499184433370829	1068	gran	la alumna es la más gran.	la alumna es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.14593283832073212	12230	bella	mi vecina es la más bella.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.12419649213552475	7371	antigua	mi vecina es la más antigua.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	28
2	2	0.05527529492974281	1693	importante	mi vecina es la más importante.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	27
3	3	0.05429060384631157	1072	grande	mi vecina es la más grande.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.04654904082417488	11428	buena	mi vecina es la más buena.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	25
5	5	0.0439460463821888	5356	conocida	mi vecina es la más conocida.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	24
6	6	0.03975559026002884	16963	rica	mi vecina es la más rica.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	23
7	7	0.035320430994033813	7746	fuerte	mi vecina es la más fuerte.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.017417561262845993	17676	pura	mi vecina es la más pura.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	21
9	9	0.015538625419139862	1068	gran	mi vecina es la más gran.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	20
10	10	0.014905347488820553	8821	larga	mi vecina es la más larga.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	19
11	11	0.013494669459760189	3685	nueva	mi vecina es la más nueva.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	18
12	12	0.01061692088842392	2754	alta	mi vecina es la más alta.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	17
13	13	0.00724460743367672	9560	baja	mi vecina es la más baja.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.006913406308740377	7749	joven	mi vecina es la más joven.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	15
15	15	0.006256344728171825	8360	famosa	mi vecina es la más famosa.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.005811744835227728	5490	tradicional	mi vecina es la más tradicional.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	13
17	17	0.005496043246239424	10431	utilizada	mi vecina es la más utilizada.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.005341703072190285	3341	simple	mi vecina es la más simple.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	11
19	19	0.00508072366937995	9122	noble	mi vecina es la más noble.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	10
20	20	0.005033187102526426	1827	comuna	mi vecina es la más comuna.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	NC	9
21	21	0.004997148644179106	14254	potente	mi vecina es la más potente.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	8
22	22	0.004595261532813311	1696	popular	mi vecina es la más popular.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	7
23	23	0.004466986283659935	15815	corriente	mi vecina es la más corriente.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	6
24	24	0.004168367013335228	14757	amplia	mi vecina es la más amplia.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.003969730343669653	15342	brillante	mi vecina es la más brillante.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	4
26	26	0.003938433714210987	1511	##ère	mi vecina es la másère.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	Fz	3
27	27	0.0037542094942182302	546	más	mi vecina es la más más.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	RG	2
28	28	0.0037336291279643774	9699	dura	mi vecina es la más dura.	mi vecina es la más [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.040910448879003525	16443	femenina	ella se considera femenina.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.032741643488407135	117	»	ella se considera ».	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	28
2	2	0.027969030663371086	17522	escritora	ella se considera escritora.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	27
3	3	0.02486850880086422	11367	independiente	ella se considera independiente.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.023261746391654015	6161	actriz	ella se considera actriz.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	25
5	5	0.015882162377238274	6270	mujer	ella se considera mujer.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	24
6	6	0.010860213078558445	5671	##²	ella se considera².	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	Fz	23
7	7	0.010565442964434624	11428	buena	ella se considera buena.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.009984232485294342	3382	madre	ella se considera madre.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	21
9	9	0.008622827008366585	4356	igual	ella se considera igual.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	20
10	10	0.007849660702049732	15258	pareja	ella se considera pareja.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	19
11	11	0.007729039527475834	3733	artista	ella se considera artista.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	18
12	12	0.007481482345610857	12203	blanca	ella se considera blanca.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	17
13	13	0.007199435494840145	14536	casada	ella se considera casada.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	16
14	14	0.006787668447941542	10305	realidad	ella se considera realidad.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	15
15	15	0.0064425221644341946	12230	bella	ella se considera bella.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	14
16	16	0.006324519403278828	2882	ella	ella se considera ella.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	PP	13
17	17	0.006024740170687437	7728	unica	ella se considera unica.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	12
18	18	0.0055929129011929035	10639	princesa	ella se considera princesa.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	11
19	19	0.005557184107601643	4549	esposa	ella se considera esposa.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	10
20	20	0.005537123419344425	10405	periodista	ella se considera periodista.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	9
21	21	0.005383914336562157	10517	profesora	ella se considera profesora.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	8
22	22	0.005331719759851694	13875	amante	ella se considera amante.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	7
23	23	0.005169040523469448	10493	autora	ella se considera autora.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	6
24	24	0.004975438117980957	3932	menor	ella se considera menor.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	5
25	25	0.004815845284610987	4408	misma	ella se considera misma.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	PI	4
26	26	0.0044601112604141235	9416	reina	ella se considera reina.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	3
27	27	0.004420125856995583	7098	hija	ella se considera hija.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	2
28	28	0.00440953066572547	6813	annie	ella se considera Annie.	ella se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	1
0	0	0.046063415706157684	16443	femenina	la chica se considera femenina.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	29
1	1	0.03496868535876274	11367	independiente	la chica se considera independiente.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	28
2	2	0.016996247693896294	117	»	la chica se considera ».	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	27
3	3	0.014605741016566753	12203	blanca	la chica se considera blanca.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	26
4	4	0.00934985838830471	10113	virgen	la chica se considera Virgen.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	25
5	5	0.008513816632330418	12230	bella	la chica se considera bella.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	24
6	6	0.008256928063929081	11428	buena	la chica se considera buena.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	23
7	7	0.007682743947952986	12264	privada	la chica se considera privada.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	AQ	22
8	8	0.006705854088068008	6161	actriz	la chica se considera actriz.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	NC	21
9	9	0.006648400332778692	1511	##ère	la chica se consideraère.	la chica se considera [MASK].	Geotrend/distilbert-base-es-cased	female	Fz	20
